Ώρα,To(°C),Τοίχοι(W),Οροφή(W),Υαλ.Αγωγ.(W),Ηλιακά(W),Εσωτ.Αισθ.(W),Αερ.Αισθ.(W),Q_αισθητό(W),Εσωτ.Λανθ.(W),Αερ.Λανθ.(W),Q_λανθάνον(W),Q_συνολικό(W),Q_συνολικό(kW)
08:00,26.8,251.0,191.4,31.7,2895.6,1127,56.8,4553.5,436,742.1,1178.1,5731.6,5.73
12:00,33.5,302.9,545.2,295.4,1895.5,1127,558.7,4724.7,436,743.9,1179.9,5904.6,5.90
16:00,35.7,359.2,968.6,453.7,2357.3,1127,723.2,5989.0,436,744.5,1180.5,7169.5,7.17
20:00,30.8,336.3,933.8,242.7,475.7,1127,361.2,3476.8,436,743.2,1179.2,4655.9,4.66
24:00,27.0,276.5,580.0,84.4,260.2,1127,73.3,2401.4,436,742.2,1178.2,3579.5,3.58
